studentId	Predmet	ECTS	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OptinaPrebivalista	DatumDiplomiranja
16380	P-220	7	5		1	2018/2019	1	NE	9/18/2018	M	6	Ekonomska	Sarajevo - Centar	2017/2018	DL	Vareš	
16381	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	4	Medicinska	Gračanica	2017/18	DL	Gračanica	
16382	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Vogošća	
16383	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	Ž	4	Medicinska	Konjic	2017/2018	DL	Mostar	
16384	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	2	Elektrotehnička	Tuzla	2017/2018	Redovan samofinansirajući	Tuzla	
16385	P-220	7	6	1/31/2019	1	2018/2019	1	NE	9/5/2018	M	1	Gimnazija	Zenica	2017/18	DL	Kakanj	9/30/2021
16386	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sarajevo-Novo Sarajevo	2017/2018	DL	Sarajevo-Novo Sarajevo	
16387	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo-Novo Sarajevo	
16388	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	2	Elektrotehnička	Zenica	2017/18	Redovan samofinansirajući	Zavidovići	
16389	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Centar	
16390	P-220	7	5		1	2018/2019	1	NE	7/19/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	
16391	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	2	Elektrotehnička	Bugojno	2017/18	DL	Bugojno	
16392	P-220	7	9	1/31/2019	1	2018/2019	1	NE	9/5/2018	Ž	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Vogošća	9/6/2022
16393	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/19/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	
16394	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	Ž	1	Gimnazija	Sarajevo - Centar	2017/18	DL	Vogošća	9/6/2022
16395	P-220	7	5		1	2018/2019	1	NE	7/19/2018	M	4	Medicinska	Travnik	2017/2018	DL	Jajce	
