StudentId,P-104,P-12,P-140,P-141,P-142,P-143,P-145,P-146,P-147,P-148,P-149,P-150,P-151,P-152,P-153,P-154,P-155,P-156,P-157,P-158,P-159,P-160,P-161,P-162,P-175,P-176,P-177,P-178,P-218,P-219,P-220,P-221,P-222,P-223,P-224,P-225,P-226,P-227,P-228,P-229,P-230,P-231,P-232,P-233,P-234,P-235,P-236,P-237,P-238,P-239,P-24,P-240,P-241,P-246,P-247,P-276,P-277,P-278,P-279,P-280,P-33,P-45,P-50,P-58,P-7,P-8,P-85,P-88,DatumUpisa,SrednjaSkola,GodinaZavrsetka,NacinStudiranja,Diplomirao
16433,,8,,,,,6,8,8,8,6,5,,8,6,,,,5,,,,,,6,7,7,,8,6,8,6,6,,,7,6,7,,7,8,5,5,8,,,,,,,8,,,9,7,,,,,,,,9,6,,,,10,8/24/2018,Gimnazija,2017/18,DL,0
16434,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,7/20/2018,Elektrotehnièka,2000/2001,DL,0
16435,,5,,,,,,,,,5,,,,,,,,,,,,,,7,5,,,8,6,7,5,5,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,,,7/20/2018,Elektrotehnièka,2014/15,DL,0
16436,,6,,,,,6,7,5,6,8,5,,5,5,,,,5,,,,,,7,8,5,,7,6,7,6,7,,,6,6,6,,5,5,5,5,5,,,,,,,7,,,6,5,,,,,,,,5,7,,,,5,7/20/2018,Medresa,2017/2018,DL,0
16437,,9,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,7,5,5,5,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,5,,,,,7/20/2018,Turistièko ugostiteljska,2017/2018,DL,0
16438,,7,,,,,,,,,5,,,,,,,,,,,,,,9,5,,,8,5,6,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,,,8/24/2018,Katolièki školski centar,2013/14,DL,0
16439,,9,,,,,7,6,7,6,7,5,,7,7,,,,5,,,,,,8,6,6,,9,8,7,9,7,,,8,8,6,,9,10,,,10,,,,,,,9,,,9,7,,,,,,,,9,7,,,,5,7/20/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16440,,6,,,,,6,6,6,6,10,5,,7,7,,,,5,,,,,5,10,8,9,,7,8,8,8,8,,,8,10,6,,7,6,,,10,5,5,5,5,5,5,7,5,5,7,7,,,,,,,5,8,7,,,,10,7/20/2018,Elektrotehnièka,2017/2018,DL,0
16441,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,6,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,8,,5,,,8/24/2018,Medicinska,2014/15,Vanredan,0
16442,,7,,,,,6,6,7,8,6,5,,8,6,,,,5,,,,,,9,6,7,,8,6,6,6,6,,,6,5,6,,7,9,5,5,10,,,,,,,7,,,7,6,,,,,,,,6,7,,,,10,7/20/2018,Mješovita srednja škola,2017/2018,DL,0
16443,,7,,,,,5,5,5,5,5,,,,,,,,,,,,,,6,5,5,,7,6,7,7,7,,,5,6,6,,,,,,,,,,,,,7,,,8,5,,,,,,,,,6,,,,,8/24/2018,Gimnazija,2011/12,DL,0
16444,,7,,,,,8,7,6,8,7,5,,8,8,,,,5,,,,,,10,8,6,,7,7,8,6,6,,,7,7,6,,8,8,5,5,9,,,,,,,9,,,8,7,,,,,,,,9,6,,,,10,7/20/2018,Elektrotehnièka,2017/2018,DL,0
16445,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,8/24/2018,Gimnazija,2015/2016,DL,0
16446,,9,,,,,9,7,6,6,8,8,,8,8,,,,8,,,,,,8,7,8,,9,10,8,10,8,,,9,8,6,,8,7,,,10,,,,,,,9,,,9,7,,,,,,,,8,8,,,,10,7/20/2018,Elektrotehnièka,2017/2018,DL,1
16447,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,7,5,5,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,,,7/20/2018,Elektrotehnièka,2017/2018,DL,0
16448,,7,,,,,6,6,6,6,7,5,,5,7,,,,5,,,,,5,9,6,8,,9,6,6,7,6,,,6,6,6,,10,7,,,10,8,5,5,10,5,5,7,5,5,8,6,,,,,,,5,7,6,,,,10,8/24/2018,Tehnièka,2017/18,Redovan samofinansirajuæi,0
16449,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,7,6,7,6,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,,,,7/20/2018,Gimnazija,2017/2018,DL,0
16450,,9,,,,,6,9,8,6,6,10,,9,10,,,,5,,,,,,6,7,6,,9,6,8,6,8,,,6,7,6,,9,8,5,5,9,,,,,,,9,,,9,10,,,,,,,,10,6,,,,5,7/20/2018,Elektrotehnièka,2017/2018,DL,0
16451,,8,,,,,5,5,5,5,6,,,,,,,,,,,,,,6,5,5,,6,5,7,5,7,,,5,5,5,5,,,,,,,,,,,,7,,,9,5,,,,,,,,,8,,,,,8/23/2018,Gimnazija,2017/18,DL,0
16452,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,5,5,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,6,,,,,7/20/2018,Gimnazija,2017/2018,DL,0
16453,,6,,,,,5,5,5,5,8,,,,,,,,,,,,,,8,7,5,,6,5,6,6,6,,,5,5,7,5,,,,,,,,,,,,6,,,6,5,,,,,,,,,7,,,,,8/23/2018,Tehnièka,2015/2016,Vanredan,0
16454,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,7/20/2018,Ekonomska,2017/2018,DL,0
16455,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,7,7,5,6,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,,,,8/23/2018,Gimnazija,2011/12,DL,0
16457,,6,,,,,5,5,5,5,5,,,,,,,,,,,,,,5,5,5,,7,7,7,7,7,,,5,7,6,,,,,,,,,,,,,5,,,6,5,,,,,,,,,7,,,,,8/23/2018,Gimnazija,2015/2016,DL,0
16458,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,7,5,6,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,5,,,7/20/2018,Elektrotehnièka,2017/2018,DL,0
16459,,6,,,,,7,7,7,8,10,8,,6,7,,,,7,,,,,,9,6,7,,8,6,7,6,7,,,8,7,6,,6,7,,,7,,,,,,,6,,,7,7,,,,,,,,8,6,,,,10,8/23/2018,Gimnazija,2017/18,DL,1
16460,,6,,,,,7,6,7,7,8,5,,8,7,,,,5,,,,,,9,6,6,,8,6,7,6,6,,,8,6,6,,7,8,,,10,,,,,,,6,,,6,7,,,,,,,,9,6,,,,10,7/20/2018,Mješovita srednja škola,2017/2018,Redovan samofinansirajuæi,0
16461,,7,,,,,,,,,10,,,,,,,,,,,,,,10,5,,,9,5,7,5,6,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8,,,,,9/8/2018,Mješovita srednja škola,2017/2018,DL,0
16462,,6,,,,,5,,,,5,,,,,,,,,,,,,,6,5,,,7,5,6,6,6,,,,5,5,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,,,8/23/2018,Ekonomska,2001/2002,DL,0
16463,,7,,,,,6,6,6,6,6,7,,7,6,,,,5,,,,,5,7,6,6,,7,7,6,7,7,,,6,8,7,,9,6,,,6,5,5,10,5,5,5,7,5,5,7,7,,,,,,,5,10,8,,,,10,7/20/2018,Gimnazija,2017/2018,DL,0
16464,,8,,,,,5,5,5,5,10,,,,,,,,,,,,,,6,9,5,,8,7,6,5,7,,,5,5,7,5,,,,,,,,,,,,8,,,8,5,,,,,,,,,7,,,,,8/23/2018,Gimnazija,2017/18,DL,0
16465,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,6,6,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,6,,,,,7/20/2018,Gimnazija,2017/2018,Vanredan,0
16466,,7,,,,,6,7,5,6,6,5,,5,5,,,,5,,,,,,7,7,5,,8,7,7,7,9,,,6,7,6,,5,8,5,5,5,,,,,,,7,,,8,6,,,,,,,,5,7,,,,5,9/8/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16467,,9,,,,,6,10,5,7,8,5,,5,5,,,,5,,,,,,6,8,5,,9,6,6,6,6,,,6,6,7,,6,7,5,5,5,,,,,,,8,,,9,7,,,,,,,,5,7,,,,10,8/23/2018,Elektrotehnièka,2017/18,DL,0
16468,,8,,,,,7,5,6,7,6,,,,,,,,,,,,,,10,5,5,,8,6,7,7,6,,,5,6,7,,,,,,,,,,,,,10,,,9,5,,,,,,,,,8,,,,,8/23/2018,Gimnazija,2017/18,Vanredan,0
16469,,8,,,,,6,6,6,6,7,5,,8,9,,,,5,,,,,,6,6,9,,7,6,7,7,6,,,6,6,6,,7,9,5,5,10,,,,,,,8,,,8,6,,,,,,,,7,6,,,,10,7/20/2018,Gimnazija,2017/2018,DL,0
16470,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,,,,7/20/2018,Gimnazija,2015/2016,DL,0
16471,,7,,,,,7,8,6,10,8,5,,7,7,,,,5,,,,,,9,6,7,,7,6,8,8,7,,,7,7,6,,5,7,,,10,,,,,,,9,,,7,7,,,,,,,,8,6,,,,10,8/23/2018,Medresa,2017/18,Redovan samofinansirajuæi,0
16472,,7,,,,,7,5,5,5,8,,,,,,,,,,,,,,6,5,5,,7,8,7,6,7,,,5,8,7,5,,,,,,,,,,,,6,,,7,5,,,,,,,,,8,,,,,7/20/2018,Gimnazija,2017/2018,Vanredan,0
16473,,8,,,,,5,5,5,5,5,,,,,,,,,,,,,,6,5,5,,7,7,7,5,6,,,5,5,5,5,,,,,,,,,,,,6,,,8,5,,,,,,,,,8,,,,,7/21/2018,Gimnazija,2015/2016,DL,0
16474,,8,,,,,6,5,6,6,6,,,,,,,,,,,,,,9,5,5,,7,8,8,8,7,,,5,9,6,,,,,,,,,,,,,8,,,9,5,,,,,,,,,7,,,,,8/23/2018,Gimnazija,2017/2018,Vanredan,0
16475,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,7,5,5,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,5,,,7/21/2018,Tehnièka,2015/2016,DL,0
16476,,6,,,,,6,7,5,6,5,5,,5,5,,,,5,,,,,,6,8,5,,7,8,8,6,6,,,6,8,6,,5,5,5,5,5,,,,,,,7,,,6,6,,,,,,,,5,6,,,,5,7/20/2018,Tehnièka,2017/2018,Vanredan,0
16478,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,7/20/2018,Gimnazija,2017/2018,DL,0
16479,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,9/8/2018,Turistièko ugostiteljska,2017/18,DL,0
16480,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6,,,7/20/2018,Ostalo,2017/2018,Vanredan,0
16481,,7,,,,,5,5,5,5,7,,,,,,,,,,,,,,7,5,5,,8,6,7,6,6,,,5,6,5,5,,,,,,,,,,,,7,,,8,5,,,,,,,,,6,,,,,7/20/2018,Tehnièka,2017/2018,DL,0
16482,,7,,,,,6,6,6,7,6,5,,6,6,,,,5,,,,,,6,8,5,,7,6,7,7,6,,,8,6,8,,8,7,5,5,10,,,,,,,6,,,9,6,,,,,,,,7,8,,,,10,7/21/2018,Gimnazija,2017/18,DL,0
16483,,6,,,,,7,6,8,6,7,9,,8,8,,,,5,,,,,,6,6,6,,7,6,8,6,6,,,7,7,7,,8,9,5,5,9,,,,,,,6,,,6,7,,,,,,,,7,6,,,,5,7/20/2018,Tehnièka,2017/2018,DL,0
16485,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,,,,7/21/2018,Gimnazija,2016/17,DL,0
16486,,9,,,,,8,7,8,9,6,9,,8,9,,,,7,,,,,,10,8,6,,8,8,8,8,8,,,9,8,7,,9,8,,,9,,,,,,,9,,,9,7,,,,,,,,9,7,,,,10,7/20/2018,Ostalo,2017/2018,Redovan samofinansirajuæi,1
16487,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,,,,9/8/2018,Medicinska,2015/2016,DL,0
16488,,7,,,,,5,5,5,8,5,,,6,,,,,,,,,,,7,5,5,,7,7,7,6,6,,,5,7,7,,,,,,,,,,,,,8,,,7,5,,,,,,,,,6,,,,,7/20/2018,Ostalo,2017/2018,DL,0
16489,,7,,,,,5,5,5,5,6,,,,,,,,,,,,,,10,8,5,,7,5,7,6,8,,,5,5,5,5,,,,,,,,,,,,8,,,7,5,,,,,,,,,6,,,,,7/20/2018,Elektrotehnièka,2014/2015,DL,0
16490,,7,,,,,6,8,6,7,7,5,,5,5,,,,5,,,,,,7,7,8,,7,6,6,6,6,,,8,5,7,,5,5,5,5,5,,,,,,,6,,,8,7,,,,,,,,5,6,,,,5,7/21/2018,Gimnazija,2017/18,Vanredan,0
16491,,7,,,,,5,7,5,6,5,,,,,,,,,,,,,,6,6,5,,7,6,6,6,6,,,6,6,6,,,,,,,,,,,,,6,,,8,6,,,,,,,,,6,,,,,7/21/2018,Gimnazija,2017/2018,DL,0
16494,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,6,5,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,7/21/2018,Gimnazija,2017/2018,DL,0
16495,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,6,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,5,,,7/21/2018,Grafièka,2003/04,DL,0
16496,,8,,,,,7,6,6,5,9,5,,5,5,,,,5,,,,,,6,8,7,,7,6,8,7,6,,,6,5,6,,5,8,5,5,5,,,,,,,8,,,8,7,,,,,,,,9,9,,,,10,7/21/2018,Elektrotehnièka,2017/2018,DL,0
16497,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,7,5,6,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,,,7/21/2018,Gimnazija,2017/2018,DL,0
16498,,7,,,,,5,5,5,5,5,,,,,,,,,,,,,,7,5,5,,7,7,6,6,7,,,5,5,5,5,,,,,,,,,,,,6,,,8,5,,,,,,,,,6,,,,,7/21/2018,Gimnazija,2017/18,DL,0
16499,,7,,,,,7,6,6,7,6,5,,5,5,,,,5,,,,,,6,6,5,,8,6,8,10,8,,,5,8,6,,5,5,5,5,5,,,,,,,7,,,9,6,,,,,,,,5,8,,,,5,7/21/2018,Gimnazija,2017/2018,DL,0
16500,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,5,,,7/21/2018,Grafièka,2017/18,DL,0
16501,,9,,,,,6,6,7,8,6,9,,9,9,,,,5,,,,,,8,8,8,,9,8,8,7,8,,,6,8,6,,8,9,,,8,,,,,,,8,,,9,7,,,,,,,,9,8,,,,9,7/21/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16502,,8,,,,,7,7,7,6,7,5,,7,6,,,,5,,,,,,6,6,6,,8,6,6,9,7,,,6,8,7,,8,9,5,5,8,,,,,,,8,,,8,7,,,,,,,,8,8,,,,10,7/21/2018,Gimnazija,2017/18,DL,0
16503,,7,,,,,9,7,6,7,7,10,,8,8,,,,5,,,,,,7,6,6,,9,7,9,10,,7,,10,7,8,,9,7,,,10,,,,,,,10,,,7,7,,,,,,,,10,7,,,,10,7/21/2018,Gimnazija,1999/2000,DL,0
16504,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,5,,,,,7/21/2018,Medicinska,2008/2009,DL,0
16505,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,7/21/2018,Ekonomska,2017/18,DL,0
16506,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,7,5,5,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,7/21/2018,Gimnazija,2016/2017,Vanredan,0
16507,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,5,,5,,,7/21/2018,Elektrotehnièka,2017/2018,DL,0
16508,,8,,,,,6,10,5,5,7,,,,,,,,,,,,,,9,6,5,,7,8,7,7,7,,,5,5,5,,,6,,,,,,,,,,7,,,8,5,,,,,,,,,7,,,,,7/21/2018,Elektrotehnièka,2016/17,Redovan samofinansirajuæi,0
16509,,9,,,,,8,6,7,7,8,6,,8,8,,,,5,,,,,,10,6,7,,8,8,8,6,9,,,7,6,7,7,7,8,5,5,10,,,,,,,9,,,9,,,,,,,,,9,6,,,,10,7/20/2018,Gimnazija,2017/18,Redovan samofinansirajuæi,0
16510,,9,,,,,9,8,10,9,6,9,,9,10,,,,8,,,,,5,8,8,9,,8,8,8,10,9,,,10,10,8,,9,7,,,10,,,,,,7,10,10,,9,8,10,9,9,8,9,,,9,8,,,,10,9/24/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16511,,7,,,,,5,5,5,5,5,,,,,,,,,,,,,,10,6,5,,6,9,7,5,6,,,5,5,5,,,,,,,,,,,,,5,,,7,5,,,,,,,,,6,,,,,9/24/2018,Elektrotehnièka,2013/14,DL,0
16516,,8,,,,,5,5,5,5,5,,,,,,,,,,,,,,8,5,5,,8,6,6,5,6,,,5,5,5,5,,,,,,,,,,,,5,,,9,5,,,,,,,,,7,,,,,9/25/2018,Gimnazija,2017/2018,DL,0
16517,,6,,,,,7,6,7,7,5,5,,5,8,,,,5,,,,,,6,7,6,,7,7,7,6,7,,,6,6,6,,8,8,5,5,8,,,,,,,7,,,7,7,,,,,,,,8,8,,,,10,9/25/2018,Gimnazija,2017/2018,DL,0
16518,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,5,,,9/24/2018,Gimnazija,2015/2016,DL,0
16519,,7,,,,,7,8,8,9,8,8,,8,7,,,,7,,,,,,7,8,9,,8,10,7,7,8,,,10,7,7,,7,9,,,8,,,,,,,8,,,7,7,,,,,,,,9,6,,,,10,9/25/2018,Gimnazija,2015/2016,DL,1
16520,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,9/26/2018,Elektrotehnièka,2013/2014,Vanredan,0
16521,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,9/25/2018,Elektrotehnièka,2012/2013,DL,0
16522,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,6,6,6,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,5,,,10/3/2018,Medicinska,2017/2018,Vanredan,0
16523,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,5,,,9/24/2018,Ekonomska,2017/2018,Vanredan,0
16524,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,9/25/2018,Gimnazija,2017/2018,DL,0
16525,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,7,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,5,,,,,9/25/2018,Gimnazija,2009/2010,DL,0
16527,,7,,,,,5,5,5,5,9,,,,,,,,,,,,,,8,5,5,,7,6,6,5,6,,,5,7,5,,,,,,,,,,,,,8,,,8,5,,,,,,,,,6,,,,,9/26/2018,Elektrotehnièka,2017/2018,DL,0
16528,,6,,,,,5,5,5,5,5,,,,,,,,,,,,,,6,5,5,,8,7,7,6,8,,,5,5,6,,,,,,,,,,,,,7,,,7,5,,,,,,,,,6,,,,,9/25/2018,Saobraæajna,2014/2015,DL,0
16529,,7,,,,,6,6,6,7,10,8,,6,6,,,,7,,,,,,8,6,10,,6,6,6,7,6,,,8,7,6,,8,8,,,9,,,,,,,8,,,8,7,,,,,,,,9,6,,,,10,9/26/2018,Elektrotehnièka,2016/2017,DL,1
16530,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,9/25/2018,Gimnazija,2009/2010,DL,0
16531,,7,,,,,5,5,5,5,5,,,,,,,,,,,,,,6,5,5,,7,6,6,6,7,,,5,5,5,,,,,,,,,,,,,7,,,7,5,,,,,,,,,6,,,,,9/26/2018,Elektrotehnièka,2017/2018,DL,0
16532,,5,,,,,,,,,8,,,,,,,,,,,,,,8,5,,,6,5,6,5,7,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,9/25/2018,Elektrotehnièka,2017/2018,DL,0
16533,,6,,,,,7,8,6,8,6,5,,6,7,,,,5,,,,,,7,6,9,,7,6,7,8,6,,,6,7,7,,7,8,5,5,9,,,,,,,8,,,6,7,,,,,,,,7,7,,,,10,10/4/2018,Medresa,2017/2018,DL,0
16534,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,6,5,5,5,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,5,,,,,9/20/2018,Gimnazija,2017/2018,DL,0
16535,,7,,,,,9,8,7,8,7,8,,7,9,,,,7,,,,,,8,6,6,,8,6,7,7,6,,,10,7,7,,8,7,,,10,,,,,,,9,,,7,7,,,,,,,,9,7,,,,10,9/24/2018,Gimnazija,2017/2018,DL,1
16536,,8,,,,,,,,,5,,,,,,,,,,,,,,6,5,,,7,5,6,5,7,5,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,5,,,9/26/2018,Gimnazija,2017/2018,DL,0
16537,,5,,,,,,,,,5,,,,,,,,,,,,,,7,5,,,8,7,7,5,5,,,,7,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,9/17/2018,Elektrotehnièka,2011/2012,DL,0
16570,8,6,8,8,8,6,7,7,7,5,6,5,5,5,5,,,5,5,7,5,,,5,9,8,6,6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,6,8,7,5,,11/7/2018,Tehnièka,2008/09,DL,0
16571,7,7,7,7,7,7,7,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,,5,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,7,,,7,7,7,5,,11/7/2018,Katolièki školski centar,2007/08,DL,0
16572,6,9,6,7,6,8,8,6,8,5,5,5,5,5,5,,5,5,5,5,5,,,5,8,10,7,6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,7,10,9,5,,11/7/2018,Gimnazija,2010/2011,DL,0
16573,8,8,6,8,8,7,7,7,6,7,6,9,8,8,6,,,7,5,6,6,8,,5,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,7,6,8,,,11/7/2018,Gimnazija,2010/2011,DL,0
16574,,8,,,,,6,6,6,7,6,8,,8,6,,,,5,,,,,,6,6,8,,8,8,6,6,6,,,6,7,7,,9,9,,,7,,,,,,,9,,,9,7,,,,,,,,7,6,,,,10,11/7/2018,Elektrotehnièka,2013/2014,DL,0
16575,,5,,,,,,,,,5,,,,,,,,,,,,,,6,5,,,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,7,,,,,11/7/2018,Gimnazija,2014/15,DL,0
16576,8,9,7,8,7,7,7,8,8,9,6,5,8,5,7,,,5,5,7,7,,,5,10,10,8,6,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,6,,,8,9,10,8,,11/7/2018,Gimnazija,2006/2007,DL,0
16577,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,7,5,7,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,7,,,,,11/8/2018,Gimnazija,2014/2015,DL,0
16578,,9,,,,,5,5,5,5,7,,,,,,,,,,,,,,6,5,5,,6,5,6,7,6,,,5,5,5,5,,,,,,,,,,,,5,,,9,5,,,,,,,,,6,,,,,11/8/2018,Gimnazija,2012/2013,DL,0
16579,6,9,7,6,8,6,7,8,8,6,6,8,8,9,6,,,8,6,7,8,,,9,7,6,7,6,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,6,,,7,6,10,9,,11/8/2018,Gimnazija,2010/2011,DL,1
16580,6,9,8,8,6,6,7,8,8,5,5,5,5,5,5,,,5,5,5,5,,,5,7,8,5,6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,7,,,6,6,10,5,,11/9/2018,Elektrotehnièka,2012/13,DL,0
16581,7,7,8,8,6,6,8,7,8,6,5,5,9,8,6,,,5,5,8,5,,,5,6,6,6,8,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,7,6,7,6,,11/9/2018,Elektrotehnièka,2008/09,DL,0
16582,6,7,8,6,6,6,9,8,7,6,7,5,8,7,6,,,7,5,7,7,,,5,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,9,,,8,7,6,6,,11/9/2018,Mašinska,2002/03,DL,0
16583,9,7,8,9,8,9,10,8,9,6,7,8,8,8,7,,,5,5,7,6,,,5,10,6,6,7,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8,,,7,10,8,8,,11/9/2018,Tehnièka,2012/13,DL,0
16584,6,6,8,7,7,7,7,5,6,7,6,5,5,5,7,,5,,5,7,6,,,5,7,6,8,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,6,6,7,6,,11/9/2018,Tehnièka,2010/11,DL,0
16585,,7,,,,,5,5,5,5,8,,,,,,,,,,,,,,7,5,5,,8,5,7,5,7,,,5,5,5,5,,,,,,,,,,,,5,,,7,5,,,,,,,,,7,,,,,11/14/2018,Medresa,2008/2009,DL,0
16586,6,7,7,6,7,6,8,7,7,5,5,5,8,7,5,,,8,5,5,5,,,5,8,6,8,6,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,7,7,8,5,,11/14/2018,Elektrotehnièka,2000/2001,DL,0
16587,7,5,6,7,7,5,5,5,5,5,5,,,,,,,,,,,,5,,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,5,5,6,,,11/14/2018,Mješovita srednja škola,1999/2000,DL,0
16588,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,11/14/2018,Medresa,2014/2015,DL,0
