studentId	Predmet	BrojKredita	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OpstinaPrebivalista	Diplomirao
16521	P-220	7	6	2/14/2019	1	2018/2019	1	0	9/25/2018	M	2	Elektrotehnička	Zavidovići	2012/2013	DL	Zavidovići	0
16522	P-220	7	6	9/9/2019	1	2018/2019	1	0	10/3/2018	Ž	4	Medicinska	Mostar	2017/2018	Vanredan	Mostar	0
16523	P-220	7	5		1	2018/2019	1	0	9/24/2018	M	6	Ekonomska	Ljubuški	2017/2018	Vanredan	Ljubuški	0
16524	P-220	7	5		1	2018/2019	1	0	9/25/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	0
16525	P-220	7	6	2/14/2019	1	2018/2019	1	0	9/25/2018	M	1	Gimnazija	Banja Luka	2009/2010	DL	Ilidža	0
16527	P-220	7	6	1/31/2019	1	2018/2019	1	0	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Ilidža	0
16528	P-220	7	7	2/14/2019	1	2018/2019	1	0	9/25/2018	M	8	Saobraćajna	Sarajevo - Centar	2014/2015	DL	Ilidža	0
16529	P-220	7	6	2/14/2019	1	2018/2019	1	0	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2016/2017	DL	Ilidža	1
16530	P-220	7	5		1	2018/2019	1	0	9/25/2018	M	1	Gimnazija	Sarajevo - Centar	2009/2010	DL	Sarajevo - Centar	0
16531	P-220	7	6	1/31/2019	1	2018/2019	1	0	9/26/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	0
16532	P-220	7	6	2/14/2019	1	2018/2019	1	0	9/25/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	0
16533	P-220	7	7	8/26/2019	1	2018/2019	1	0	10/4/2018	M	18	Medresa	Tuzla	2017/2018	DL	Gradačac	0
16534	P-220	7	6	2/14/2019	1	2018/2019	1	0	9/20/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	0
16535	P-220	7	7	2/14/2019	1	2018/2019	1	0	9/24/2018	M	1	Gimnazija	Zenica	2017/2018	DL	Kakanj	1
16536	P-220	7	6	2/14/2019	1	2018/2019	1	0	9/26/2018	M	1	Gimnazija	Zenica	2017/2018	DL	Zenica	0
16537	P-220	7	7	4/17/2019	1	2018/2019	1	1	9/17/2018	M	2	Elektrotehnička	Tuzla	2011/2012	DL	Tuzla	0
16574	P-220	7	6	10/1/2019	1	2020/2021	1	1	11/7/2018	M	2	Elektrotehnička	Jablanica	2013/2014	DL	Mostar	0
16320	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/17/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	0
16321	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/17/2018	M	2	Elektrotehnička	Sarajevo - Centar	2017/2018	DL	Ilidža	0
16322	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/17/2018	M	3	Mašinska	Mostar	2017/2018	Redovan samofinansirajući	Mostar	0
16323	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/17/2018	M	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	1
16324	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	0
16325	P-220	7	6	2/14/2019	1	2018/2019	1	0	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	0
